"";"1";"2";"3";"4";"class"
"40";1,14705548812378e-30;3,47710615767106e-28;2,01409402552818e-157;1;4
"41";3,14400224982642e-08;4,17720643066958e-27;0,999999968559978;3,3362024955174e-43;3
"42";1;1,17806385076839e-33;4,68356036279994e-28;1,62356692670887e-37;1
"43";1;1,30309238455534e-33;5,64966321701653e-26;2,17119833841889e-37;1
"44";1;2,37580139327412e-26;2,04187904920532e-59;2,90587168269458e-21;1
"45";7,77982719370396e-13;2,14984622418407e-38;0,999999999999222;2,70551648207583e-54;3
"46";2,97131667309337e-15;4,10875894288299e-28;0,999999999999997;6,93337701776278e-49;3
"47";0,998161811609427;9,24157704361457e-20;0,00183818839057264;1,47785860221038e-35;1
"48";1;4,26361919111225e-36;3,56924201363249e-70;9,84210686996351e-21;1
"49";1;7,31204954155955e-42;6,01867500201838e-38;6,3749404716382e-38;1
"50";1,09295029745346e-25;1,53778721466830e-06;0,999998462212785;1,94571932248423e-36;3
"51";0,999999999999948;8,32201208748646e-36;5,21757363457858e-14;3,32526262040151e-42;1
"52";1;2,73978551791974e-27;3,04169897132874e-38;8,48586882142058e-30;1
"53";1;7,65357071011787e-38;4,72428317911041e-25;1,66612239609518e-40;1
"54";2,05223271771796e-12;4,66791789972397e-42;0,999999999997948;4,91538250640646e-57;3
"55";1,50068972997625e-08;1,25268778416706e-38;0,999999984993103;7,35065096403207e-54;3
"56";1;3,41068551314967e-23;6,61218313167475e-31;1,73232188451316e-29;1
"57";2,55647197407798e-17;4,50256347770186e-36;1;9,4344550576465e-57;3
"58";0,0102984327625278;5,36468982520374e-07;0,98970103076849;1,34648558665639e-26;3
"59";0,998161811609427;9,24157704361457e-20;0,00183818839057264;1,47785860221038e-35;1
"60";1,34804649566317e-09;4,19612907308297e-41;0,999999998651953;2,4315055221255e-55;3
"61";0,998951124655525;1,05005252227816e-33;0,00104887534447497;1,11746324078476e-42;1
"62";4,17709335773802e-12;0,999999999995007;8,15464316743406e-13;1,27296482005285e-27;2
"63";5,18859795584043e-58;1;6,11254616719248e-108;1,96810649016289e-24;2
"64";2,0988754791863e-33;1,91017422526823e-08;0,999999980898258;3,40671597394559e-47;3
"65";0,999999944802768;6,88166772689282e-41;5,51972321382372e-08;4,99437562781013e-46;1
"66";3,13048532239047e-161;1;1,80609190492609e-166;1,58410252441620e-66;2
"67";2,86943980899361e-161;1;5,9166905515921e-165;1,18733788896800e-67;2
"68";5,47090189972471e-162;1;2,72103886618878e-172;4,09437496924634e-65;2
"69";5,07667102726403e-164;1;9,28387085254491e-179;1,60237470630048e-65;2
"70";0;1;0;2,22716767963382e-56;2
"71";1,04384971395173e-57;1;2,52344418672467e-88;6,26963769489936e-28;2
"72";1,09522893228015e-29;8,88646984689287e-11;1,74702003415521e-101;0,999999999911135;4
"73";3,60240298364383e-10;2,04579647078342e-21;1,86049652982210e-124;0,99999999963976;4
"74";1,50731079136250e-98;1,30677994909286e-47;0;1;4
"75";2,50363491100592e-62;1;1,25531636002957e-93;3,42886484556361e-23;2
"76";1;2,23464305573288e-36;2,96910441601986e-70;1,29687104792203e-21;1
"77";1;2,67846519744432e-28;1,62518341944483e-33;1,22823436358282e-29;1
"78";0,999954845648826;4,51543511695285e-05;1,74198406984902e-15;2,25502866507321e-15;1
"79";4,2410844430813e-105;1,51853278046379e-45;0;1;4
"80";0,99750632456521;2,02844571629073e-23;0,00249367543479070;7,4448252706987e-36;1
"81";1;1,58209830605466e-42;5,89026624473566e-39;8,6170759314648e-37;1
"82";8,83380475843867e-75;0,999838728001249;4,36258457850985e-203;0,000161271998751104;2
"83";6,89649773085239e-32;1,88590672594092e-39;1;4,02791288765359e-67;3
"84";1;1,55903341907639e-39;2,05327945807994e-54;5,71761188137014e-30;1
"85";1;5,49807110757982e-35;3,02735444525018e-67;4,21883527244800e-20;1
"86";9,34724021689918e-10;9,38222685380929e-14;1,81007379668282e-96;0,999999999065182;4
"87";1,79030384270783e-97;8,2625928146923e-67;0;1;4
"88";1,27065950639996e-24;1,41280094588650e-07;0,999999858719905;5,63964469101362e-41;3
"89";2,28393963948499e-248;4,27798530347623e-43;0;1;4
"90";0,999999983473167;4,75499031612142e-15;3,12300175701160e-72;1,65268280974149e-08;1
"91";7,93624227932287e-12;0,999999999992064;4,33202950588063e-40;1,02976903461333e-18;2
"92";6,69551929378386e-27;1,13728948263424e-34;1;1,35482943574140e-59;3
"93";1,41954041209682e-121;5,15198447740446e-73;0;1;4
"94";1;1,81007638711905e-26;5,0116978561806e-51;2,33901588147802e-19;1
"95";1;2,60951032671526e-37;1,58555625980535e-38;2,33866729128134e-33;1
"96";0;2,33655424773217e-91;0;1;4
"97";1;4,64436113893551e-32;2,6039023444917e-49;1,05536069004593e-24;1
"98";6,35904432026771e-55;1;4,45743842367781e-80;1,03835446670170e-30;2
"99";1;2,57185147884601e-31;1,64822125416378e-41;7,03782039953498e-29;1
"100";1;1,55081972574816e-35;7,44896307414809e-37;5,80026095723261e-33;1
